"fecha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.06.2018 18:00";"7.4";"764.2";"766.4";"0.0";"53";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"-1.6";"";"";"";"";"";"";
"24.06.2018 15:00";"8.8";"764.2";"766.4";"-2.5";"39";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"-4.6";"";"";"";"";"";"";
"24.06.2018 12:00";"8.4";"766.7";"769.0";"-0.3";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.2";"";"";"";"";"";"";
"24.06.2018 09:00";"1.2";"767.0";"769.3";"0.1";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"0.0";"7.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"-3.6";"";"";"Surface of ground wet (standing water in small or large pools on surface).";"-2.0";"";"";
"24.06.2018 06:00";"1.5";"766.9";"769.1";"-0.6";"74";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.6";"";"";"";"";"";"";
"24.06.2018 03:00";"3.5";"767.5";"769.8";"0.3";"56";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.6";"";"";"";"";"";"";
"24.06.2018 00:00";"4.9";"767.2";"769.6";"1.4";"51";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.5";"";"";"";"";"";"";
"23.06.2018 21:00";"7.8";"765.8";"768.1";"3.1";"46";"Wind blowing from the south-east";"7";"";"";"60%.";" ";"";"";"7.8";"17.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-3.1";"";"";"";"";"";"";
"23.06.2018 18:00";"11.0";"762.7";"765.1";"2.9";"59";"Wind blowing from the south";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.3";"";"";"";"";"";"";
"23.06.2018 15:00";"15.0";"759.8";"762.1";"0.9";"56";"Wind blowing from the south";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.2";"";"";"";"";"";"";
"23.06.2018 12:00";"16.0";"758.9";"761.2";"2.2";"52";"Wind blowing from the south";"5";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.0";"";"";"";"";"";"";
"23.06.2018 09:00";"9.7";"756.7";"759.0";"1.2";"72";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"8.4";"13.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.8";"Trace of precipitation";"24";"Surface of ground moist.";"6.0";"";"";
"23.06.2018 06:00";"9.7";"755.5";"757.7";"-0.1";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"23.06.2018 03:00";"12.1";"755.6";"757.9";"-0.8";"72";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"7.2";"";"";"";"";"";"";
"23.06.2018 00:00";"13.2";"756.4";"758.6";"-0.3";"64";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"6.4";"";"";"";"";"";"";
"22.06.2018 21:00";"13.3";"756.7";"759.0";"-0.3";"68";"Wind blowing from the north";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"8.4";"16.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"7.4";"Trace of precipitation";"6";"";"";"";"";
"22.06.2018 18:00";"14.2";"757.0";"759.2";"-1.2";"56";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.4";"";"";"";"";"";"";
"22.06.2018 15:00";"16.6";"758.2";"760.4";"-2.4";"46";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.0";"";"";"";"";"";"";
"22.06.2018 12:00";"14.2";"760.6";"763.0";"-0.4";"55";"Wind blowing from the north-west";"5";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.1";"";"";"";"";"";"";
"22.06.2018 09:00";"8.4";"761.0";"763.4";"-0.9";"67";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"5.5";"9.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"2.5";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"4.0";"";"";
"22.06.2018 06:00";"5.6";"761.9";"764.2";"-1.1";"87";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.5";"";"";"";"";"";"";
"22.06.2018 03:00";"6.1";"763.0";"765.4";"-0.6";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.5";"";"";"";"";"";"";
"22.06.2018 00:00";"6.8";"763.6";"765.8";"0.0";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.3";"";"";"";"";"";"";
"21.06.2018 21:00";"9.3";"763.6";"765.8";"1.2";"68";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"9.3";"16.6";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"21.06.2018 18:00";"13.1";"762.4";"764.7";"1.2";"47";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.9";"";"";"";"";"";"";
"21.06.2018 15:00";"16.2";"761.2";"763.4";"0.0";"46";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.4";"";"";"";"";"";"";
"21.06.2018 12:00";"15.9";"761.2";"763.5";"1.7";"46";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.2";"";"";"";"";"";"";
"21.06.2018 09:00";"11.2";"759.5";"761.8";"2.2";"62";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"11.2";"18.2";"";"";"";"";"";"10.0";"4.1";"0.2";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"9.0";"";"";
"21.06.2018 06:00";"14.7";"757.3";"759.6";"1.8";"70";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"21.06.2018 03:00";"18.0";"755.5";"757.7";"-0.1";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.7";"0.2";"6";"";"";"";"";
"21.06.2018 00:00";"18.2";"755.6";"757.9";"-0.5";"87";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.9";"";"";"";"";"";"";
"20.06.2018 21:00";"17.1";"756.1";"758.4";"-1.0";"87";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"11.5";"19.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.9";"";"";"";"";"";"";
"20.06.2018 18:00";"16.2";"757.1";"759.4";"-1.7";"85";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"13.6";"";"";"";"";"";"";
"20.06.2018 15:00";"19.0";"758.8";"761.1";"-2.5";"64";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.9";"";"";"";"";"";"";
"20.06.2018 12:00";"18.2";"761.3";"763.6";"-0.9";"66";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.7";"";"";"";"";"";"";
"20.06.2018 09:00";"11.5";"762.2";"764.5";"0.7";"90";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"9.0";"13.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.9";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"7.0";"";"";
"20.06.2018 06:00";"9.2";"761.5";"763.6";"0.0";"96";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"20.06.2018 03:00";"11.8";"761.5";"763.6";"0.0";"84";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"20.06.2018 00:00";"13.8";"761.5";"763.6";"0.8";"73";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"19.06.2018 21:00";"12.0";"760.7";"763.0";"0.7";"85";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"9.6";"19.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.5";"";"";"";"";"";"";
"19.06.2018 18:00";"15.0";"760.0";"762.2";"-0.4";"75";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"10.5";"";"";"";"";"";"";
"19.06.2018 15:00";"18.9";"760.4";"762.7";"-1.7";"51";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"8.6";"";"";"";"";"";"";
"19.06.2018 12:00";"15.2";"762.1";"764.2";"-0.7";"62";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"7.9";"";"";"";"";"";"";
"19.06.2018 09:00";"9.6";"762.8";"765.1";"-0.5";"78";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"9.2";"13.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"5.9";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"8.0";"";"";
"19.06.2018 06:00";"9.5";"763.3";"765.4";"-1.0";"87";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"7.4";"";"";"";"";"";"";
"19.06.2018 03:00";"10.7";"764.3";"766.6";"-0.2";"81";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"7.6";"";"";"";"";"";"";
"19.06.2018 00:00";"12.3";"764.5";"766.8";"-0.6";"73";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"18.06.2018 21:00";"13.4";"765.1";"767.4";"-0.3";"67";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"8.2";"19.1";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"18.06.2018 18:00";"15.8";"765.4";"767.7";"-0.3";"48";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"4.6";"";"";"";"";"";"";
"18.06.2018 15:00";"18.6";"765.7";"768.0";"-2.4";"44";"Wind blowing from the north-west";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.0";"";"";"";"";"";"";
"18.06.2018 12:00";"14.6";"768.1";"770.5";"-0.1";"51";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.6";"";"";"";"";"";"";
"18.06.2018 09:00";"8.2";"768.2";"770.5";"0.9";"73";"Wind blowing from the north-west";"4";"";"";"40%.";" ";"";"";"7.5";"10.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"3.6";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"6.0";"";"";
"18.06.2018 06:00";"7.8";"767.3";"769.6";"-0.2";"75";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"18.06.2018 03:00";"8.8";"767.5";"769.7";"-0.3";"71";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.8";"";"";"";"";"";"";
"18.06.2018 00:00";"10.2";"767.8";"770.1";"-0.1";"70";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.9";"";"";"";"";"";"";
"17.06.2018 21:00";"10.9";"767.9";"770.2";"0.1";"72";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"5.8";"16.1";"";"";"";"";"";"10.0";"6.0";"";"";"";"";"";"";
"17.06.2018 18:00";"12.9";"767.8";"770.2";"-0.3";"63";"Wind blowing from the north-west";"3";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"6.0";"";"";"";"";"";"";
"17.06.2018 15:00";"15.6";"768.1";"770.5";"-1.8";"52";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"17.06.2018 12:00";"13.0";"769.9";"772.3";"0.0";"61";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.6";"";"";"";"";"";"";
"17.06.2018 09:00";"5.8";"769.9";"772.2";"0.3";"79";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"5.2";"9.0";"";"";"";"";"";"10.0";"2.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"4.0";"";"";
"17.06.2018 06:00";"5.6";"769.6";"771.8";"-0.4";"85";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.2";"";"";"";"";"";"";
"17.06.2018 03:00";"7.2";"770.0";"772.3";"0.0";"79";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"17.06.2018 00:00";"8.5";"770.0";"772.3";"0.1";"72";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"16.06.2018 21:00";"9.0";"769.9";"772.3";"0.0";"71";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"3.9";"13.1";"";"";"";"";"";"10.0";"4.0";"";"";"";"";"";"";
"16.06.2018 18:00";"10.2";"769.9";"772.3";"-1.2";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"16.06.2018 15:00";"12.4";"771.1";"773.4";"-1.5";"59";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.6";"";"";"";"";"";"";
"16.06.2018 12:00";"9.8";"772.6";"774.8";"-0.4";"62";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"2.9";"";"";"";"";"";"";
"16.06.2018 09:00";"3.9";"773.0";"775.4";"0.7";"95";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"1.9";"5.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"3.2";"";"";"Surface of ground moist.";"2.0";"";"";
"16.06.2018 06:00";"2.6";"772.3";"774.7";"-1.0";"98";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.3";"";"";"";"";"";"";
"16.06.2018 03:00";"3.8";"773.3";"775.6";"-0.2";"93";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.8";"";"";"";"";"";"";
"16.06.2018 00:00";"3.8";"773.5";"775.7";"0.3";"93";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.8";"";"";"";"";"";"";
"15.06.2018 21:00";"5.8";"773.2";"775.6";"0.5";"85";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"3.3";"12.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"3.4";"";"";"";"";"";"";
"15.06.2018 18:00";"8.5";"772.7";"775.1";"0.1";"72";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"15.06.2018 15:00";"11.3";"772.6";"774.9";"-1.5";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.4";"";"";"";"";"";"";
"15.06.2018 12:00";"10.4";"774.1";"776.4";"1.2";"66";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.2";"";"";"";"";"";"";
"15.06.2018 09:00";"3.3";"772.9";"775.3";"0.9";"99";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"2.4";"6.6";"";"";"";"";"";"10.0";"3.1";"";"";"Surface of ground moist.";"1.0";"";"";
"15.06.2018 06:00";"2.6";"772.0";"774.2";"0.0";"95";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.8";"";"";"";"";"";"";
"15.06.2018 03:00";"3.3";"772.0";"774.3";"0.0";"95";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.6";"";"";"";"";"";"";
"15.06.2018 00:00";"5.2";"772.0";"774.2";"0.9";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.8";"";"";"";"";"";"";
"14.06.2018 21:00";"6.4";"771.1";"773.5";"1.2";"82";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"5.4";"12.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.6";"";"";"";"";"";"";
